ID,Ojibwe Word,Word Class,English Translation
533,ashkibagaa,vii,there are green leaves; pn eshkibagaag; aug ashkibagaamagad; pn aug eshkibagaamagak ashkibagong inaande vii be leaf-green; pn ashkibagong enaandeg; aug ashkibagong inaandemagad; pn aug ashkibagong enaandemagak ashkibagong inaanzo vai be leaf-green; pn ashkibagong enaanzod
535,ashkin,vii,be raw (as meat); pn eshking
536,ashkini,vai,be raw (as meat); pn eshkinid
538,asho-wiidige,vai,"be engaged; Isg indasho-wiidige; pn esho-wiidiged asho-wiidigendiwag /asho-wiidigendi-/ vai they are engaged to each other; Ipl indasho- wiidigendimin; pn esho-wiidigendijig asigagim via add s.o. together (e.g., money); Isg indasigagimaa; pn esigagimaad"
539,asigagindan,vii,add s.t. together; Isg indasigagindaan; pn esigagindang
540,asigagindaaso,vai,"add together, total up; Isg indasigagindaas; pn esigagindaasod"
541,asigibii'igan,ni,number; pi asigibii'iganan; loc asigibii'iganing; dim asigibii'igaans
542,asigibii'ige,vai,write numbers; Isg indasigibii'ige; pn esigibii'iged
547,asigizhooniyaawe,vai,collect money as a donation; Isg indasigizhooniyaawe; pn esigizhooniyaawed
548,asigobaan,ni,processed basswood bark fiber
549,asigobaani-mazinichigan,na,doll of processed basswood bark fiber; pi asigobaani- mazinichiganag; dim asigobaani- mazinichigaans
551,asinaab,na,net sinker; pi asinaabiig; Ice asinaabiing; dim asinaabiins
553,asiniikaa,vii,"there are many rocks, there are many stones; pn esiniikaag; aug asiniikaamagad; pn aug esiniikaamagak"
560,ataagib,ni,algae; loc ataagibiing
564,atisan,vti,dye s.t.; Isg indatisaan; pn etisang; also adisan
565,atisigan,ni,dye; pi atisiganan; also adisigan
566,atisige,vai,dye things; Isg indatisige; pn etisiged; also adisige
567,atiso,vai,be ripe; pn etisod; also adiso
568,atite,vii,be ripe; pn etiteg; aug atitemagad; prt aug etitemagak; also adite
570,atoon,vti2,put s.t. in a certain place; Isg indatoon; pn etood
576,awanjish,pc,"persistently, stubbornly, even though"
577,awas,pc,go away!
578,awasagaam,pc,over across the water
579,awasajiw,pc,"beyond the mountain, over across the mountain"
580,awasayi'ii,pc,"beyond it, over across it"
581,awasaakwaa,pc,"beyond the woods, over across the woods"
582,awas-biboonong,pc,winter before last
583,awas-dagwaagong,pc,fall before last
584,awashime,pc,much more
