powhatan_word,english_translation,word_class,source,license,orthography,notes,audio_url
Nummehcher poketaw,I eat corn,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nummehcher peccatohas,I eat beans,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nummehcher mahkok,I eat squash,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kakwe?,What is this / that?,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Neire nekowi,I know,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Matah nekowi,I do not know,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Neire nowontam,I understand,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Matah nowontam,I do not understand,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Keire nowontam?,Do you understand,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nehkut,One,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ninge,Two,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nooso,Three,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Yo,Four,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Paranse,Five,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Komatinge,Six,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Tapawes,Seven,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nuskawes,Eight,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kekeytawe,Nine,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Koske,Ten,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
a beast in bignes like a pig and in tast alike,Aposon,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
a great ship,Aquintayne manggoy,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
a little boate or canoa,Aquintayne taux,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
a lobster,Assahampehooke,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"oskeitch, vsqwÿh, vspeuwh",Above,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vscound,Abroad,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
anaskimmins,Acorn,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"keihtascooc, sassacomuwah",Adder,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aunshecapa,Afternoone,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
chowhwasuw,Ague,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cheisk,All,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
pocohaac,An aule pin or needle,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"tashoac, metatvwh neckatam",All is out,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
kekewh,Alive,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
